Column Name,Column Description
OBJECTID,"In ArcGIS, a system-managed value that uniquely identifies a record or feature."
GEOID,Geographic Identifier - fully concatenated geographic code (State FIPS and district number)
STATE,Census 2-digit FIPS State Code
COUNTY,Census 5-digit FIPS County Code
NAME,Name of County
STUSAB,State Abbreviation
STATE_NAME,Name of State
B25002EST1,Total: Housing units
B25002EST2,Occupied housing units
B25002EST2_PCT,    as a %  
B25002EST3,Vacant
B25002EST3_PCT,    as a %  
B25009EST2,Owner Occupied
B25009EST2_PCT,    as a %  
B25009EST3,Owner Occupied 1-Person Household
B25009EST3_PCT,    as a %  
B25009EST4,Owner Occupied 2-Person Household
B25009EST4_PCT,    as a %  
B25009EST5,Owner Occupied 3-Person Household
B25009EST5_PCT,    as a %  
B25009EST6,Owner Occupied 4-Person Household
B25009EST6_PCT,    as a %  
B25009EST7,Owner Occupied 5-Person Household
B25009EST7_PCT,    as a %  
B25009_OWNOCC_6PLUS,Owner Occupied 6-or-more Person Household
B25009_OWN_6PLUS_PCT,    as a %  
B25009EST10,Renter Occupied
B25009EST10_PCT,    as a %  
B25009EST11,Renter Occupied 1-Person Household
B25009EST11_PCT,    as a %  
B25009EST12,Renter Occupied 2-Person Household
B25009EST12_PCT,    as a %  
B25009EST13,Renter Occupied 3-Person Household
B25009EST13_PCT,    as a %  
B25009EST14,Renter Occupied 4-Person Household
B25009EST14_PCT,    as a %  
B25009EST15,Renter Occupied 5-Person Household
B25009EST15_PCT,    as a %  
B25009_RENTOCC_6PLUS,Renter Occupied 6-or-more Person Household
B25009_RENT_6PLUS_PCT,    as a %  
B25009_TOT_1,Total 1-Person Household
B25009_TOT_1_PCT,    as a %  
B25009_TOT_2,Total 2-Person Household
B25009_TOT_2_PCT,    as a %  
B25009_TOT_3,Total 3-Person Household
B25009_TOT_3_PCT,    as a %  
B25009_TOT_4,Total 4-Person Household
B25009_TOT_4_PCT,    as a %  
B25009_TOT_5,Total 5-Person Household
B25009_TOT_5_PCT,    as a %  
B25009_TOT_6PLUS,Total 6-Person Household
B25009_TOT_6PLUS_PCT,    as a %  
B25037EST3,Median Year Structure Built for Renter Occupied Units
B25041EST2,No bedroom
B25041EST2_PCT,    as a %  
B25041EST3,1 bedroom
B25041EST3_PCT,    as a %  
B25041EST4,2 bedrooms
B25041EST4_PCT,    as a %  
B25041_3PLUS_BDR,3 or more bedrooms
B25041_3PLUS_BDR_PCT,    as a %  
B25021EST1,Median number of rooms
B25021EST2,Median number of rooms -- Owner occupied
B25021EST3,Median number of rooms -- Renter occupied
B25024EST2,1-unit detached structure
B25024EST2_PCT,    as a %  
B25024EST3,1-unit attached structure
B25024EST3_PCT,    as a %  
B25024_2TO4,2 to 4 units
B25024_2TO4_PCT,    as a %  
B25024_5TO19,5 to 19 units
B25024_5TO19_PCT,    as a %  
B25024_20PLUS,20 or more units
B25024_20PLUS_PCT,    as a %  
B25024_OTHER,Mobile home Boat RV van et
B25024_OTHER_PCT,    as a %  
B25032EST2,Owner-occupied housing units:
B25032EST3,"1, detached"
B25032EST3_PCT,    as a %  
B25032EST4,"1, attached"
B25032EST4_PCT,    as a %  
B25032_OWN_2TO4,2 to 4 
B25032_OWN_2TO4_PCT,    as a %  
B25032_OWN_5TO19,5 to 19
B25032_OWN_5TO19_PCT,    as a %  
B25032_OWN_20PLUS,20 or more units
B25032_OWN_20PLUS_PCT,    as a %  
B25032_OWN_OTHER,Mobile home Boat RV van et
B25032_OWN_OTHER_PCT,    as a %  
B25032EST13,Renter-occupied housing units:
B25032EST14,"1, detached"
B25032EST14_PCT,    as a %  
B25032EST15,"1, attached"
B25032EST15_PCT,    as a %  
B25032_RENT_2TO4,2 to 4 
B25032_RENT_2TO4_PCT,    as a %  
B25032_RENT_5TO19,5 to 19
B25032_RENT_5TO19_PCT,    as a %  
B25032_RENT_20PLUS,20 or more units
B25032_RENT_20PLUS_PCT,    as a %  
B25032_RENT_OTHER,Mobile home Boat RV van et
B25032_RENT_OTHER_PCT,    as a %  
B25036_OWN_2KPLUS,Owner occupied housing units Built 2000 or later
B25036_OWN_2KPLUS_PCT,    as a %  
